"x","y","trans","vol","min","max","bath","date","site"
-14.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,142.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,142.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-8.5,142.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-7.5,142.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-6.5,142.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-5.5,142.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-4.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-3.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-2.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-1.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-0.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
0.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
1.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
2.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
3.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
4.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
5.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
6.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
7.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
8.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
9.5,142.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-24.5,141.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-23.5,141.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-22.5,141.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-21.5,141.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-20.5,141.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-19.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,141.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,141.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-8.5,141.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-7.5,141.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-6.5,141.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-5.5,141.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-4.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-3.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-2.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-1.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-0.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
0.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
1.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
2.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
3.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
4.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
5.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
6.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
7.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
8.5,141.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-24.5,140.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-23.5,140.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-22.5,140.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-21.5,140.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-20.5,140.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-19.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-18.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-17.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-16.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-15.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-14.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-13.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-12.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-11.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-10.5,140.5,"1",0,NA,NA,27.42449,"14-08-2019","JDN"
-9.5,140.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-8.5,140.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-7.5,140.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-6.5,140.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-5.5,140.5,"1",0,NA,NA,27.428175,"14-08-2019","JDN"
-4.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-3.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-2.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-1.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-0.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
0.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
1.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
2.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
3.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
4.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
5.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
6.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
7.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
8.5,140.5,"1",0,NA,NA,27.455965,"14-08-2019","JDN"
-24.5,139.5,"1",0,NA,NA,27.4436,"14-08-2019","JDN"
-23.5,139.5,"1",0,NA,NA,27.4436,"14-08-2019","JDN"
-22.5,139.5,"1",0,NA,NA,27.4436,"14-08-2019","JDN"
-21.5,139.5,"1",0,NA,NA,27.4436,"14-08-2019","JDN"
-20.5,139.5,"1",0,NA,NA,27.4436,"14-08-2019","JDN"
-19.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-18.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-17.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-16.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-15.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-14.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-13.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-12.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-11.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-10.5,139.5,"1",0,NA,NA,27.43976,"14-08-2019","JDN"
-9.5,139.5,"1",0,NA,NA,27.4746,"14-08-2019","JDN"
-8.5,139.5,"1",0,NA,NA,27.4746,"14-08-2019","JDN"
-7.5,139.5,"1",0,NA,NA,27.4746,"14-08-2019","JDN"
-6.5,139.5,"1",0,NA,NA,27.4746,"14-08-2019","JDN"
-5.5,139.5,"1",0,NA,NA,27.4746,"14-08-2019","JDN"
-4.5,139.5,"1",0,NA,NA,27.48258,"14-08-2019","JDN"
